step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,a1,a2,r1,r2,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse
154,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.5,0.7,5.2,2.5,,
155,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.51,0.705,5.21,2.4375,,
156,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.51,0.705,5.21,2.4375,,
157,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.52,0.71,5.22,2.375,,
158,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.53,0.715,5.23,2.3125,,
159,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.53,0.715,5.23,2.3125,,
160,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.53,0.715,5.23,2.3125,,
161,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.54,0.72,5.24,2.25,,
162,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.54,0.72,5.24,2.25,,
163,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.55,0.725,5.25,2.1875,,
164,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.55,0.725,5.25,2.1875,,
165,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.54,0.72,5.24,2.25,,
166,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.54,0.72,5.24,2.25,,
167,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.5,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.54,0.72,5.24,2.25,,
168,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.54,0.715,5.21,2.1875,,
169,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.53,0.71,5.2,2.25,,
170,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.54,0.715,5.21,2.1875,,
171,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.54,0.715,5.21,2.1875,,
172,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.53,0.71,5.2,2.25,,
173,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.54,0.715,5.21,2.1875,,
174,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.53,0.71,5.2,2.25,,
175,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.52,0.705,5.19,2.3125,,
176,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.51,0.7,5.18,2.375,,
