episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
124,0.8,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.4889,1.5111,1.5111,2.4889,0.5371,0.5371,0.5371,0.5371,8.0,0,0.08,9.26
125,0.8,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.4889,1.5111,1.5111,2.4889,0.5344,0.5344,0.5344,0.5344,8.0,0,0.08,9.26
126,0.8,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5318,0.5318,0.5318,0.5318,8.0,0,0.08,9.27
127,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.5291,0.5291,0.5291,0.5291,11.0,0,0.08,9.3
128,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.5264,0.5264,0.5264,0.5264,16.0,1,0.09,9.35
129,0.8,H,H,H,S,2.3333,2.3333,2.3333,0.0,2.1778,2.1778,2.1778,0.4667,0.5238,0.5238,0.5238,0.5238,7.0,0,0.09,9.35
130,0.8,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.9333,2.6889,2.6889,2.6889,0.5212,0.5212,0.5212,0.5212,11.0,0,0.09,9.35
131,0.8,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.1778,2.1778,0.4667,2.1778,0.5186,0.5186,0.5186,0.5186,7.0,0,0.09,9.34
132,0.8,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6889,2.6889,2.6889,2.9333,0.516,0.516,0.516,0.516,11.0,0,0.09,9.34
133,0.8,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.5134,0.5134,0.5134,0.5134,7.0,0,0.09,9.34
134,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.5108,0.5108,0.5108,0.5108,7.0,0,0.09,9.3
135,0.8,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.4889,2.4889,1.5111,1.5111,0.5083,0.5083,0.5083,0.5083,8.0,0,0.09,9.27
136,0.8,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.4889,2.4889,1.5111,1.5111,0.5058,0.5058,0.5058,0.5058,8.0,0,0.09,9.24
137,0.8,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.5032,0.5032,0.5032,0.5032,7.0,0,0.09,9.23
138,0.8,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.5111,2.4889,1.5111,2.4889,0.5007,0.5007,0.5007,0.5007,8.0,0,0.09,9.2
139,0.8,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6889,2.9333,2.6889,2.6889,0.4982,0.4982,0.4982,0.4982,11.0,0,0.09,9.2
140,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.4957,0.4957,0.4957,0.4957,8.0,0,0.09,9.21
141,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.4932,0.4932,0.4932,0.4932,16.0,1,0.1,9.29
142,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.4908,0.4908,0.4908,0.4908,8.0,0,0.1,9.26
