step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
64,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7256,0.7256,0.7256,0.7256,"('C', 'D', 'D', 'C')",9.3333,0,,,,
65,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.7219,0.7219,0.7219,0.7219,"('C', 'C', 'C', 'D')",11.0,0,,,,
66,pd_N4,matrix,4,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.7183,0.7183,0.7183,0.7183,"('D', 'C', 'D', 'D')",7.0,0,,,,
67,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.7147,0.7147,0.7147,0.7147,"('D', 'D', 'C', 'D')",7.0,0,,,,
68,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.7112,0.7112,0.7112,0.7112,"('C', 'D', 'D', 'D')",7.0,0,,,,
69,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.7076,0.7076,0.7076,0.7076,"('C', 'C', 'C', 'D')",11.0,0,,,,
70,pd_N4,matrix,4,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.7041,0.7041,0.7041,0.7041,"('C', 'D', 'C', 'D')",9.3333,0,,,,
71,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.7005,0.7005,0.7005,0.7005,"('D', 'C', 'C', 'D')",9.3333,0,,,,
72,pd_N4,matrix,4,0.5,D,C,C,C,5.0,2.0,2.0,2.0,3.5,2.5,2.5,2.5,0.697,0.697,0.697,0.697,"('D', 'C', 'C', 'C')",11.0,0,,,,
73,pd_N4,matrix,4,0.5,D,C,C,C,5.0,2.0,2.0,2.0,3.5,2.5,2.5,2.5,0.6936,0.6936,0.6936,0.6936,"('D', 'C', 'C', 'C')",11.0,0,,,,
74,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.6901,0.6901,0.6901,0.6901,"('D', 'C', 'C', 'D')",9.3333,0,,,,
75,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.6866,0.6866,0.6866,0.6866,"('D', 'D', 'C', 'D')",7.0,0,,,,
76,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.6832,0.6832,0.6832,0.6832,"('C', 'C', 'C', 'D')",11.0,0,,,,
77,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.6798,0.6798,0.6798,0.6798,"('C', 'D', 'D', 'C')",9.3333,0,,,,
78,pd_N4,matrix,4,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.6764,0.6764,0.6764,0.6764,"('C', 'C', 'D', 'D')",9.3333,0,,,,
79,pd_N4,matrix,4,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.673,0.673,0.673,0.673,"('D', 'C', 'D', 'C')",9.3333,0,,,,
80,pd_N4,matrix,4,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.6696,0.6696,0.6696,0.6696,"('C', 'C', 'D', 'D')",9.3333,0,,,,
81,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.6663,0.6663,0.6663,0.6663,"('C', 'D', 'D', 'D')",7.0,0,,,,
82,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.663,0.663,0.663,0.663,"('C', 'D', 'D', 'C')",9.3333,0,,,,
83,pd_N4,matrix,4,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.6597,0.6597,0.6597,0.6597,"('C', 'D', 'C', 'D')",9.3333,0,,,,
84,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.6564,0.6564,0.6564,0.6564,"('C', 'C', 'C', 'D')",11.0,0,,,,
85,pd_N4,matrix,4,0.5,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.6531,0.6531,0.6531,0.6531,"('C', 'D', 'C', 'C')",11.0,0,,,,
86,pd_N4,matrix,4,0.5,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6498,0.6498,0.6498,0.6498,"('C', 'C', 'C', 'C')",12.0,1,,,,
87,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.6466,0.6466,0.6466,0.6466,"('D', 'C', 'C', 'D')",9.3333,0,,,,
88,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.6433,0.6433,0.6433,0.6433,"('D', 'C', 'C', 'D')",9.3333,0,,,,
89,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6401,0.6401,0.6401,0.6401,"('D', 'D', 'D', 'D')",4.0,0,,,,
90,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.6369,0.6369,0.6369,0.6369,"('D', 'C', 'C', 'D')",9.3333,0,,,,
91,pd_N4,matrix,4,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.6337,0.6337,0.6337,0.6337,"('D', 'C', 'D', 'C')",9.3333,0,,,,
92,pd_N4,matrix,4,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.6306,0.6306,0.6306,0.6306,"('D', 'C', 'D', 'D')",7.0,0,,,,
93,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.6274,0.6274,0.6274,0.6274,"('D', 'D', 'C', 'D')",7.0,0,,,,
94,pd_N4,matrix,4,0.5,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.6243,0.6243,0.6243,0.6243,"('C', 'C', 'D', 'C')",11.0,0,,,,
95,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6211,0.6211,0.6211,0.6211,"('D', 'D', 'D', 'D')",4.0,0,,,,
96,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.618,0.618,0.618,0.618,"('D', 'D', 'D', 'D')",4.0,0,,,,
97,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.6149,0.6149,0.6149,0.6149,"('D', 'C', 'C', 'D')",9.3333,0,,,,
98,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.6119,0.6119,0.6119,0.6119,"('C', 'D', 'D', 'D')",7.0,0,,,,
99,pd_N4,matrix,4,0.5,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6088,0.6088,0.6088,0.6088,"('C', 'C', 'C', 'C')",12.0,1,,,,
100,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.6058,0.6058,0.6058,0.6058,"('D', 'C', 'C', 'D')",9.3333,0,0.05,8.92,,
101,pd_N4,matrix,4,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.6027,0.6027,0.6027,0.6027,"('C', 'C', 'D', 'D')",9.3333,0,0.05,8.9033,,
102,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.5997,0.5997,0.5997,0.5997,"('C', 'D', 'D', 'D')",7.0,0,0.05,8.88,,
103,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.5967,0.5967,0.5967,0.5967,"('C', 'D', 'D', 'C')",9.3333,0,0.04,8.8533,,
104,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.5937,0.5937,0.5937,0.5937,"('C', 'D', 'D', 'C')",9.3333,0,0.04,8.8367,,
105,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5908,0.5908,0.5908,0.5908,"('D', 'D', 'D', 'D')",4.0,0,0.04,8.7833,,
106,pd_N4,matrix,4,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.5878,0.5878,0.5878,0.5878,"('D', 'C', 'D', 'C')",9.3333,0,0.04,8.7833,,
107,pd_N4,matrix,4,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.5849,0.5849,0.5849,0.5849,"('D', 'C', 'D', 'D')",7.0,0,0.04,8.7433,,
108,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.582,0.582,0.582,0.582,"('D', 'D', 'C', 'D')",7.0,0,0.04,8.72,,
109,pd_N4,matrix,4,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.579,0.579,0.579,0.579,"('D', 'C', 'D', 'D')",7.0,0,0.04,8.6967,,
110,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.5762,0.5762,0.5762,0.5762,"('D', 'D', 'C', 'D')",7.0,0,0.04,8.6733,,
111,pd_N4,matrix,4,0.5,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.5733,0.5733,0.5733,0.5733,"('D', 'D', 'D', 'C')",7.0,0,0.04,8.65,,
112,pd_N4,matrix,4,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.5704,0.5704,0.5704,0.5704,"('C', 'C', 'D', 'D')",9.3333,0,0.04,8.6733,,
113,pd_N4,matrix,4,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.5676,0.5676,0.5676,0.5676,"('C', 'D', 'C', 'D')",9.3333,0,0.04,8.6967,,
114,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.5647,0.5647,0.5647,0.5647,"('C', 'C', 'C', 'D')",11.0,0,0.04,8.7367,,
115,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.5619,0.5619,0.5619,0.5619,"('D', 'D', 'C', 'D')",7.0,0,0.04,8.7133,,
116,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.5591,0.5591,0.5591,0.5591,"('C', 'D', 'D', 'C')",9.3333,0,0.04,8.7367,,
117,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.5563,0.5563,0.5563,0.5563,"('C', 'D', 'D', 'D')",7.0,0,0.04,8.6967,,
118,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.5535,0.5535,0.5535,0.5535,"('C', 'D', 'D', 'C')",9.3333,0,0.04,8.68,,
119,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.5507,0.5507,0.5507,0.5507,"('C', 'D', 'D', 'D')",7.0,0,0.04,8.64,,
120,pd_N4,matrix,4,0.5,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.548,0.548,0.548,0.548,"('C', 'C', 'C', 'C')",12.0,1,0.05,8.72,,
