episode,alpha_emp,N,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
258,1.0,2,C,D,0.0,5.0,0.0,5.0,0.2744,0.2744,5.0,0,0.01,3.03
259,1.0,2,D,D,1.0,1.0,1.0,1.0,0.273,0.273,2.0,0,0.01,3.03
260,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2716,0.2716,2.0,0,0.01,3.0
261,1.0,2,C,C,3.0,3.0,3.0,3.0,0.2703,0.2703,6.0,1,0.02,3.01
262,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2689,0.2689,2.0,0,0.02,3.01
263,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2676,0.2676,2.0,0,0.02,3.01
264,1.0,2,C,D,0.0,5.0,0.0,5.0,0.2663,0.2663,5.0,0,0.02,3.04
265,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2649,0.2649,2.0,0,0.02,3.04
266,1.0,2,C,C,3.0,3.0,3.0,3.0,0.2636,0.2636,6.0,1,0.03,3.08
267,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2623,0.2623,2.0,0,0.03,3.08
268,1.0,2,D,D,1.0,1.0,1.0,1.0,0.261,0.261,2.0,0,0.03,3.05
269,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2597,0.2597,2.0,0,0.03,3.02
270,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2584,0.2584,2.0,0,0.03,2.99
271,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2571,0.2571,2.0,0,0.03,2.99
272,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2558,0.2558,2.0,0,0.03,2.96
273,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2545,0.2545,2.0,0,0.03,2.93
274,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2532,0.2532,2.0,0,0.03,2.9
