episode,alpha_emp,N,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
216,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3387,0.3387,0.3387,0.3387,7.0,0,0.01,8.05
217,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.337,0.337,0.337,0.337,4.0,0,0.01,7.9967
218,0.8,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.3353,0.3353,0.3353,0.3353,7.0,0,0.01,8.0267
219,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3336,0.3336,0.3336,0.3336,4.0,0,0.01,7.9967
220,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.332,0.332,0.332,0.332,7.0,0,0.0,7.9467
221,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3303,0.3303,0.3303,0.3303,7.0,0,0.0,7.9467
222,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3286,0.3286,0.3286,0.3286,7.0,0,0.0,7.9067
223,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.327,0.327,0.327,0.327,4.0,0,0.0,7.8533
224,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3254,0.3254,0.3254,0.3254,7.0,0,0.0,7.8533
225,0.8,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.3111,1.3556,1.3556,3.3111,0.3237,0.3237,0.3237,0.3237,9.3333,0,0.0,7.8533
226,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3221,0.3221,0.3221,0.3221,4.0,0,0.0,7.8
