step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
112,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.5704,0.5704,"('C', 'C')",6.0,1,0.17,4.15,,
113,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5676,0.5676,"('D', 'D')",2.0,0,0.17,4.12,,
114,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5647,0.5647,"('D', 'D')",2.0,0,0.16,4.08,,
115,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5619,0.5619,"('D', 'D')",2.0,0,0.16,4.05,,
116,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.5591,0.5591,"('C', 'D')",5.0,0,0.16,4.08,,
117,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.5563,0.5563,"('C', 'D')",5.0,0,0.15,4.07,,
118,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5535,0.5535,"('D', 'D')",2.0,0,0.14,4.03,,
119,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5507,0.5507,"('D', 'D')",2.0,0,0.14,4.03,,
120,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.548,0.548,"('C', 'C')",6.0,1,0.15,4.07,,
121,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5452,0.5452,"('D', 'D')",2.0,0,0.15,4.07,,
122,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5425,0.5425,"('D', 'C')",5.0,0,0.15,4.07,,
123,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5398,0.5398,"('D', 'C')",5.0,0,0.14,4.06,,
124,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5371,0.5371,"('D', 'C')",5.0,0,0.13,4.05,,
125,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5344,0.5344,"('D', 'D')",2.0,0,0.13,4.02,,
126,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5318,0.5318,"('D', 'C')",5.0,0,0.13,4.02,,
127,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5291,0.5291,"('D', 'C')",5.0,0,0.13,4.02,,
128,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.5264,0.5264,"('C', 'C')",6.0,1,0.14,4.06,,
129,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.5238,0.5238,"('C', 'D')",5.0,0,0.14,4.09,,
130,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.5212,0.5212,"('C', 'D')",5.0,0,0.13,4.08,,
131,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.5186,0.5186,"('C', 'C')",6.0,1,0.14,4.09,,
132,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.516,0.516,"('D', 'C')",5.0,0,0.13,4.08,,
133,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5134,0.5134,"('D', 'C')",5.0,0,0.13,4.08,,
134,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5108,0.5108,"('D', 'C')",5.0,0,0.13,4.08,,
135,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5083,0.5083,"('D', 'D')",2.0,0,0.13,4.05,,
136,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5058,0.5058,"('D', 'D')",2.0,0,0.13,4.02,,
137,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5032,0.5032,"('D', 'C')",5.0,0,0.13,4.02,,
138,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5007,0.5007,"('D', 'C')",5.0,0,0.12,4.01,,
139,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4982,0.4982,"('D', 'C')",5.0,0,0.12,4.04,,
140,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.4957,0.4957,"('C', 'D')",5.0,0,0.12,4.04,,
141,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4932,0.4932,"('D', 'D')",2.0,0,0.12,4.04,,
142,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.4908,0.4908,"('C', 'D')",5.0,0,0.12,4.04,,
143,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4883,0.4883,"('D', 'D')",2.0,0,0.12,4.04,,
