episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
137,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5032,0.5032,0.5032,0.5032,7.0,0,0.03,8.57
138,1.0,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.5007,0.5007,0.5007,0.5007,9.3333,0,0.03,8.5533
139,1.0,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.4982,0.4982,0.4982,0.4982,11.0,0,0.03,8.5533
140,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4957,0.4957,0.4957,0.4957,7.0,0,0.03,8.5533
141,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.4932,0.4932,0.4932,0.4932,7.0,0,0.03,8.5533
142,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.4908,0.4908,0.4908,0.4908,11.0,0,0.03,8.57
143,1.0,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.4883,0.4883,0.4883,0.4883,9.3333,0,0.03,8.5533
144,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.4859,0.4859,0.4859,0.4859,9.3333,0,0.03,8.5533
145,1.0,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.4834,0.4834,0.4834,0.4834,9.3333,0,0.03,8.5767
146,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.481,0.481,0.481,0.481,11.0,0,0.03,8.6167
147,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.4786,0.4786,0.4786,0.4786,7.0,0,0.03,8.6167
