step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha3,alpha4,alpha_mean,a1,a2,a3,a4,r1,r2,r3,r4,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
265,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.11,0.555,9.4333,1.348194,,,0.395
266,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.11,0.555,9.4333,1.348194,,,0.3962
267,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.11,0.5575,9.4567,1.355764,,,0.3975
268,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.11,0.5525,9.4167,1.349097,,,0.3987
269,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.11,0.5575,9.4567,1.355764,,,0.4
270,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.11,0.555,9.44,1.356667,,,0.4012
271,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.11,0.555,9.44,1.356667,,,0.4025
272,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,D,D,D,1.0,1.0,1.0,1.0,4.0,0,0.0,0.0,,,0.1,0.545,9.36,1.356667,,,0.4037
273,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.1,0.5475,9.3833,1.364236,,,0.405
274,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.1,0.5475,9.3833,1.364236,,,0.4062
275,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.1,0.5425,9.3433,1.357569,,,0.4075
276,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.09,0.54,9.3333,1.374444,,,0.4088
277,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.09,0.5425,9.35,1.373542,,,0.41
278,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.09,0.5425,9.35,1.373542,,,0.4113
279,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.08,0.54,9.34,1.390417,,,0.4125
280,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.08,0.54,9.34,1.390417,,,0.4138
281,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.5375,9.3233,1.391319,,,0.415
282,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.5375,9.3233,1.391319,,,0.4163
283,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.08,0.5325,9.2833,1.384653,,,0.4175
284,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.53,9.2667,1.385556,,,0.4188
285,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.53,9.2667,1.385556,,,0.42
286,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.08,0.53,9.2667,1.385556,,,0.4213
287,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.07,0.5275,9.2567,1.402431,,,0.4225
288,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,C,3.0,3.0,3.0,3.0,12.0,1,1.0,0.0,,,0.08,0.5325,9.2833,1.384653,,,0.4238
289,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.08,0.53,9.2667,1.385556,,,0.425
290,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.08,0.5275,9.25,1.386458,,,0.4263
291,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.08,0.525,9.2267,1.378889,,,0.4275
292,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,C,3.0,3.0,3.0,3.0,12.0,1,1.0,0.0,,,0.09,0.53,9.2533,1.361111,,,0.4288
293,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.09,0.5275,9.23,1.353542,,,0.43
294,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.08,0.5225,9.2033,1.371319,,,0.4313
295,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.5225,9.2033,1.371319,,,0.4325
296,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.52,9.1867,1.372222,,,0.4338
297,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.08,0.5225,9.2033,1.371319,,,0.435
298,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.08,0.5275,9.2433,1.377986,,,0.4363
299,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.525,9.2267,1.378889,,,0.4375
300,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.5225,9.21,1.379792,,,0.4395
301,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.08,0.52,9.1867,1.372222,,,0.4415
302,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.08,0.5225,9.2033,1.371319,,,0.4435
303,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.08,0.5275,9.2433,1.377986,,,0.4455
