step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
65,sh_N4,matrix,4,1.0,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,0.7219,0.7219,0.7219,0.7219,"('S', 'S', 'S', 'H')",11.0,0,,,,
66,sh_N4,matrix,4,1.0,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.7183,0.7183,0.7183,0.7183,"('H', 'S', 'H', 'H')",7.0,0,,,,
67,sh_N4,matrix,4,1.0,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.7147,0.7147,0.7147,0.7147,"('H', 'H', 'S', 'H')",7.0,0,,,,
68,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7112,0.7112,0.7112,0.7112,"('S', 'H', 'H', 'H')",7.0,0,,,,
69,sh_N4,matrix,4,1.0,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,0.7076,0.7076,0.7076,0.7076,"('S', 'S', 'S', 'H')",11.0,0,,,,
70,sh_N4,matrix,4,1.0,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,0.7041,0.7041,0.7041,0.7041,"('S', 'H', 'S', 'H')",8.0,0,,,,
71,sh_N4,matrix,4,1.0,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,0.7005,0.7005,0.7005,0.7005,"('H', 'S', 'S', 'H')",8.0,0,,,,
72,sh_N4,matrix,4,1.0,H,S,S,S,3.0,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,0.697,0.697,0.697,0.697,"('H', 'S', 'S', 'S')",11.0,0,,,,
73,sh_N4,matrix,4,1.0,H,S,S,S,3.0,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,0.6936,0.6936,0.6936,0.6936,"('H', 'S', 'S', 'S')",11.0,0,,,,
74,sh_N4,matrix,4,1.0,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,0.6901,0.6901,0.6901,0.6901,"('H', 'S', 'S', 'H')",8.0,0,,,,
75,sh_N4,matrix,4,1.0,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.6866,0.6866,0.6866,0.6866,"('H', 'H', 'S', 'H')",7.0,0,,,,
76,sh_N4,matrix,4,1.0,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,0.6832,0.6832,0.6832,0.6832,"('S', 'S', 'S', 'H')",11.0,0,,,,
77,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.6798,0.6798,0.6798,0.6798,"('S', 'H', 'H', 'S')",8.0,0,,,,
78,sh_N4,matrix,4,1.0,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,0.6764,0.6764,0.6764,0.6764,"('S', 'S', 'H', 'H')",8.0,0,,,,
79,sh_N4,matrix,4,1.0,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,0.673,0.673,0.673,0.673,"('H', 'S', 'H', 'S')",8.0,0,,,,
